Shot,Melt Temp,Superheat,Melt Temp (C),Shot Sleeve Temp,Vacuum (mbar),Actual Slow Speed (in/s),Actual fast speed (in/s),Intensification Pressure (psi),Die Temp,YS (Mpa),Elongation (%),UTS (MPA),Position,Percent ESC
6,675,74,675,265,30,12,84,17193,150,134,2.88,219,1,43
38,675,74,675,275,33,11,112,14000,181,124,3.6,218,1,64
54,675,74,675,275,34,11,112,14000,180,86,6,281,2,100
78,671,70,671,270,40,12,107,19601,150,100,7,282,2,33
85,671,70,671,270,40,12,107,16924,150,125,6,247,1,33
23,730,129,730,270,38,12,52,12644,190,165,3.57,260,1,0
19,729,128,729,270,38,12,51,12644,180,128,4,263,2,17
85,729,128,729,270,40,12,51,12905,190,194,3.5,286,1,0
102,729,128,729,270,43,9,21,12847,180,131,1.94,205,1,67
105,729,128,729,270,42,8,14,0,205,130,2.8,230,1,0
107,729,128,729,270,44,12,126,0,190,130,4.9,258,1,0
109,729,128,729,270,44,12,219,0,190,123,1.27,167,1,0
110,729,128,729,270,44,11,168,0,200,136,3.7,245,1,0
22,697,109,697,275,30,11,51,12000,185,141,1.9,248,1,70
72,691,103,691,270,34,12,78,12000,200,138,1.8,243,1,70
97,688,100,688,270,39,12,113,12000,205,138,1.8,241,1,86
46,694,106,694,273,31,11,65,12000,209,139,1.8,239,1,50
9,743,125,743,250,32,12,52,12000,120,102,6.4,222,1,0
76,735,117,735,270,39,11,51,12000,170,93,6.1,208,1,0
15,744,126,744,160,42,11,52,18750,170,99,3,170,1,0
41,740,122,740,177,45,12,51,12000,170,107,3.9,193,1,0
10,726,108,726,200,30,12,51,16500,115,100,4.7,207,2,0
10,726,108,726,200,30,12,51,16500,115,112,3.5,200,1,0
58,704,86,704,205,39,12,51,17000,215,98,7.4,227,2,0
58,704,86,704,205,39,12,52,16000,215,111,8.8,241,1,0
58,705,87,705,205,39,12,51,16000,190,93,7.5,230,3,0
23,725,107,725,180,35,12,51,12000,155,90,4.9,190,1,0
66,723,105,723,200,44,12,51,12000,200,82,7.7,198,1,0
40,729,127,729,270,38,11,69,13637,170,151,2.3,258,1,0
14,730,128,730,285,34,12,53,13507,160,145,1.8,217,1,0
65,728,126,728,290,39,12,52,13500,190,146,1.8,234,1,0
81,728,126,728,270,39,11,68,12997,230,110,2.1,213,1,0
45,729,127,729,270,39,11,69,13572,190,167,2.5,275,2,0
65,728,126,729,270,39,12,51,12905,180,162,2.2,266,2,0
85,728,126,728,270,39,12,69,13000,190,151,1.4,213,2,0
21,730,128,730,290,34,12,53,13000,180,150,2.8,280,3,0
46,729,127,729,270,39,12,69,13572,170,165,3,284,3,0
62,728,126,728,280,39,12,52,13000,180,162,2.8,280,3,0
20,730,128,730,270,44,12,52,12700,185,150,2.7,267,3,0
42,728,126,728,283,44,12,69,12700,187,153,2.24,256,1,0
50,727,125,727,290,45,12,69,12700,180,164,1.7,255,2,0
50,727,125,727,290,45,12,69,12700,180,151,2.8,271,3,0
66,728,126,728,270,47,12,51,12700,215,155,2.1,251,1,0
61,728,126,728,270,45,12,51,12700,200,148,2.4,262,3,0
67,728,126,728,290,47,12,51,12700,170,156,2.2,257,2,0
65,703,101,703,270,49,12,68,13289,215,147,2.7,254,1,28
55,703,101,703,270,49,12,58,13128,160,130,2.3,222,2,12
64,703,101,703,270,49,12,68,13238,160,127,3.6,253.6,3,25
82,704,102,704,270,49,11,21,13311,202,158,2.7,252,1,0
84,704,102,704,270,50,12,125,13702,265,129,3.5,352,2,0
85,704,102,704,270,50,12,125,13702,265,152,3.2,260,1,0
87,704,102,704,270,50,12,168,13108,190,128,3.2,242,2,0
88,704,102,704,270,50,12,169,13470,190,139,4,258,1,0
40,726,124,726,285,38,11,69,13326,180,139,3.4,264,1,0
65,727,125,727,280,39,12,52,13702,173,142,2.8,259,1,0
12,727,125,727,270,34,12,53,13630,170,168,2.7,279,2,0
46,726,124,726,270,39,13,39,13630,265,161,2.9,277,2,0
69,728,126,728,270,45,12,52,13342,265,162,2.6,272,2,0
8,727,125,727,270,34,12,53,13630,265,161,1.6,241,3,0
26,727,125,727,270,34,12,87,13000,265,156,4.4,299,3,0
63,727,125,727,270,39,12,58,13263,265,156,3.1,279,3,0
30,739,128,739,270,42,11,51,13195,200,126,5.2,258,2,0
49,738,127,738,270,44,11,51,13000,195,129,4,249,2,0
26,739,128,729,270,41,11,51,13630,190,109,6.4,246,3,0
66,737,126,737,270,44,12,51,12847,200,110,6.1,246,3,0
25,735,125,735,270,35,11,53,13180,208,131,3.6,248,2,0
64,738,128,738,270,39,11,53,12774,205,124,6.4,268,2,0
18,734,124,734,270,34,11,53,13000,190,126,4.3,248,3,0
57,738,128,739,270,39,11,53,13000,220,127,6.8,267,3,0
69,737,126,737,270,43,12,50,12905,170,135,5.8,233,1,0
17,734,123,734,270,39,12,52,13500,170,116,7.1,246,1,0
12,737,126,739,270,37,12,53,13572,170,122,5.9,555,2,50
84,738,127,738,270,44,12,51,12692,205,121,5.9,250,2,18
11,739,128,739,270,36,11,51,13000,190,105,6.4,235,3,0
79,738,127,738,270,43,12,50,13000,180,110,6.9,240,3,0
